txn_id,user_id,merchant,category,amount,datetime,city,cashback,status
TXN000116,USR0102,Myntra,Shopping,7634.64,2024-01-04 18:59:32,Jaipur,0.0,declined
TXN000117,USR0329,Jio,Utilities,616.55,2024-01-04 19:36:11,Bangalore,8.64,approved
TXN000118,USR0343,HP Petrol Pump,Fuel,85.53,2024-01-04 19:37:23,Mumbai,0.78,approved
TXN000119,USR0266,Hotstar,Entertainment,367.32,2024-01-04 19:40:08,Bangalore,12.36,approved
TXN000120,USR0060,Lenskart,Healthcare,721.82,2024-01-04 19:58:36,Bangalore,8.37,approved
TXN000121,USR0024,BESCOM,Utilities,1215.4,2024-01-04 20:43:39,Mumbai,252.23,approved
TXN000122,USR0131,BigBasket,Groceries,179.74,2024-01-04 20:44:01,Mumbai,,approved
TXN000123,USR0202,Reliance Digital,Electronics,6784.27,2024-01-04 21:12:55,Pune,0.0,declined
TXN000124,USR0208,Myntra,Shopping,1785.25,2024-01-04 21:19:59,Kolkata,78.38,approved
TXN000125,USR0157,Amazon,Shopping,844.75,2024-01-04 21:45:41,Bangalore,14.28,approved
TXN000126,USR0016,Zomato,Dining,704.54,2024-01-04 21:48:37,Jaipur,12.19,approved
TXN000127,USR0322,Barbeque Nation,Dining,596.55,2024-01-04 22:03:15,Pune,0.0,declined
TXN000128,USR0116,Zepto,Groceries,412.59,2024-01-04 22:06:10,Bangalore,7.25,approved
TXN000129,USR0165,Barbeque Nation,Dining,287.72,2024-01-04 22:07:09,Mumbai,,approved
TXN000130,USR0059,Zomato,Dining,749.9,2024-01-04 22:23:41,Delhi,17.32,approved
TXN000131,USR0131,IndiGo,Travel,5757.28,2024-01-04 23:28:00,Delhi,200.5,approved
TXN000132,USR0335,Airtel,Utilities,1064.82,2024-01-05 00:35:34,Mumbai,13.74,approved
TXN000133,USR0015,Zomato,Dining,431.48,2024-01-05 01:38:06,Delhi,15.74,approved
TXN000134,USR0294,Myntra,Shopping,1017.31,2024-01-05 02:47:20,Chennai,38.09,approved
TXN000135,USR0271,INOX,Entertainment,610.08,2024-01-05 03:02:39,Delhi,11.37,approved
TXN000136,USR0235,Lenskart,Healthcare,1128.29,2024-01-05 03:27:39,Hyderabad,12.05,approved
TXN000137,USR0284,BPCL,Fuel,116.89,2024-01-05 03:36:43,Kolkata,1.11,approved
TXN000138,USR0364,INOX,Entertainment,122.68,2024-01-05 04:43:16,Kanpur,1.3,approved
TXN000139,USR0359,Spencer's,Groceries,217.78,2024-01-05 05:20:29,Jaipur,,approved
TXN000140,USR0318,Shell,Fuel,140.05,2024-01-05 06:05:58,Bangalore,0.98,approved
TXN000141,USR0261,Indian Oil,Fuel,62.58,2024-01-05 06:55:09,Bangalore,0.34,approved
TXN000142,USR0072,HP Petrol Pump,Fuel,46.32,2024-01-05 07:11:56,Kanpur,0.35,approved
TXN000143,USR0343,Zepto,Groceries,118.92,2024-01-05 07:33:39,Mumbai,2.15,approved
TXN000144,USR0027,Zomato,Dining,59.99,2024-01-05 08:07:38,Kanpur,2.2,approved
TXN000145,USR0186,Nykaa,Shopping,2519.78,2024-01-05 08:18:40,Delhi,49.1,approved
TXN000146,USR0155,Myntra,Shopping,915.49,2024-01-05 09:55:57,Pune,32.9,approved
TXN000147,USR0159,Indian Oil,Fuel,159.08,2024-01-05 10:21:21,Chennai,1.44,approved
TXN000148,USR0194,Barbeque Nation,Dining,614.56,2024-01-05 11:38:06,Mumbai,22.97,approved
TXN000149,USR0212,Amazon,Shopping,561.6,2024-01-05 12:55:11,Delhi,72.54,approved
TXN000150,USR0267,Ola Cabs,Travel,4808.12,2024-01-05 17:01:14,Jaipur,134.69,approved
TXN000151,USR0347,Apollo Pharmacy,Healthcare,1331.11,2024-01-05 17:56:06,Chennai,22.99,approved
TXN000152,USR0267,DMart,Groceries,266.03,2024-01-05 18:09:27,Bangalore,4.53,approved
TXN000153,USR0312,Medanta,Healthcare,1520.24,2024-01-05 18:09:36,Hyderabad,42.52,approved
TXN000154,USR0087,IRCTC,Travel,4664.27,2024-01-05 18:19:24,Delhi,0.0,declined
TXN000155,USR0284,IRCTC,Travel,10359.9,2024-01-05 19:10:37,Mumbai,0.0,declined
TXN000156,USR0297,Netmeds,Healthcare,1199.61,2024-01-05 19:17:43,Pune,25.47,approved
TXN000157,USR0246,Spencer's,Groceries,326.05,2024-01-05 19:24:00,Delhi,4.43,approved
TXN000158,USR0382,IndiGo,Travel,2169.99,2024-01-05 20:17:14,Hyderabad,123.18,approved
TXN000159,USR0294,Medanta,Healthcare,1571.44,2024-01-05 20:48:30,Mumbai,22.69,approved
TXN000160,USR0210,Reliance Digital,Electronics,10.0,2024-01-05 21:00:32,Mumbai,0.15,approved
TXN000161,USR0345,Reliance Fresh,Groceries,171.06,2024-01-05 21:13:02,Kanpur,1.88,approved
TXN000162,USR0220,Reliance Fresh,Groceries,181.18,2024-01-05 21:13:22,Jaipur,4.43,approved
TXN000163,USR0077,Indian Oil,Fuel,107.25,2024-01-05 21:18:10,Bangalore,0.98,approved
TXN000164,USR0217,Tata Power,Utilities,1018.5,2024-01-05 21:40:36,Hyderabad,6.99,approved
TXN000165,USR0142,Cleartrip,Travel,8651.19,2024-01-05 22:24:40,Mumbai,303.32,approved
TXN000166,USR0366,Reliance Fresh,Groceries,133.89,2024-01-05 22:29:02,Kanpur,1.47,approved
TXN000167,USR0117,Barbeque Nation,Dining,182.1,2024-01-06 00:06:22,Kolkata,2.97,approved
TXN000168,USR0135,Barbeque Nation,Dining,546.05,2024-01-06 00:37:06,Mumbai,16.87,approved
TXN000169,USR0399,Ola Cabs,Travel,4609.73,2024-01-06 00:38:17,Mumbai,0.0,declined
TXN000170,USR0370,Essar Fuel,Fuel,87.25,2024-01-06 04:03:36,Bangalore,0.5,approved
TXN000171,USR0223,Spencer's,Groceries,271.49,2024-01-06 05:01:02,Kolkata,5.17,approved
TXN000172,USR0093,Lenskart,Healthcare,1146.71,2024-01-06 05:17:26,Delhi,15.04,approved
TXN000173,USR0002,McDonald's,Dining,568.89,2024-01-06 06:17:27,Hyderabad,21.33,approved
TXN000174,USR0111,Myntra,Shopping,2587.01,2024-01-06 06:47:59,Bangalore,126.2,approved
TXN000175,USR0286,Reliance Fresh,Groceries,239.18,2024-01-06 09:18:40,Pune,5.13,approved
TXN000176,USR0310,BESCOM,Utilities,549.76,2024-01-06 10:24:52,Chennai,74.56,approved
TXN000177,USR0316,Nykaa,Shopping,2970.41,2024-01-06 11:55:09,Jaipur,134.84,approved
TXN000178,USR0138,Apollo Pharmacy,Healthcare,1423.2,2024-01-06 12:54:27,Pune,26.97,approved
TXN000179,USR0380,BSNL,Utilities,1129.31,2024-01-06 14:26:45,Mumbai,7.11,approved
TXN000180,USR0308,Tata Power,Utilities,1141.2,2024-01-06 14:42:34,Chennai,7.63,approved
TXN000181,USR0109,McDonald's,Dining,604.43,2024-01-06 15:45:23,Pune,13.99,approved
TXN000182,USR0054,Samsung Plaza,Electronics,3916.29,2024-01-06 15:55:08,Pune,648.75,approved
TXN000183,USR0177,Samsung Plaza,Electronics,6299.2,2024-01-06 17:07:14,Kanpur,105.19,approved
TXN000184,USR0109,BESCOM,Utilities,1109.55,2024-01-06 17:25:37,Mumbai,9.94,approved
TXN000185,USR0220,Zepto,Groceries,259.79,2024-01-06 18:15:06,Mumbai,5.32,approved
TXN000186,USR0350,Barbeque Nation,Dining,723.28,2024-01-06 18:55:25,Delhi,18.82,approved
TXN000187,USR0028,HP Petrol Pump,Fuel,80.14,2024-01-06 18:56:46,Mumbai,0.46,approved
TXN000188,USR0346,Spencer's,Groceries,168.74,2024-01-06 20:08:25,Kanpur,3.9,approved
TXN000189,USR0013,Vijay Sales,Electronics,5257.7,2024-01-06 20:59:23,Chennai,103.36,approved
TXN000190,USR0099,Barbeque Nation,Dining,470.82,2024-01-06 22:19:01,Mumbai,0.0,declined
TXN000191,USR0225,Zomato,Dining,747.6,2024-01-06 22:22:22,Hyderabad,26.14,approved
TXN000192,USR0384,Tata Power,Utilities,1142.16,2024-01-06 22:29:12,Bangalore,10.22,approved
TXN000193,USR0126,Spencer's,Groceries,112.34,2024-01-06 22:51:41,Jaipur,,declined
TXN000194,USR0395,Essar Fuel,Fuel,69.11,2024-01-06 22:57:56,Jaipur,0.47,approved
TXN000195,USR0283,PVR Cinemas,Entertainment,114.28,2024-01-06 23:57:38,Chennai,3.87,approved
TXN000196,USR0018,Indian Oil,Fuel,180.97,2024-01-07 00:27:34,Mumbai,1.31,approved
TXN000197,USR0040,Spencer's,Groceries,346.5,2024-01-07 00:43:27,Hyderabad,9.31,approved
TXN000198,USR0054,Shell,Fuel,69.05,2024-01-07 01:05:29,Chennai,0.55,approved
TXN000199,USR0010,Reliance Fresh,Groceries,147.49,2024-01-07 05:14:52,Delhi,2.22,approved
TXN000200,USR0088,BSNL,Utilities,731.63,2024-01-07 06:55:12,Chennai,4.33,approved
TXN000201,USR0238,Barbeque Nation,Dining,561.22,2024-01-07 07:07:44,Bangalore,13.97,approved
TXN000202,USR0024,Barbeque Nation,Dining,670.88,2024-01-07 07:28:25,Delhi,114.07,approved
TXN000203,USR0215,HP Petrol Pump,Fuel,62.32,2024-01-07 07:49:00,Hyderabad,0.51,approved
TXN000204,USR0295,Zepto,Groceries,114.31,2024-01-07 07:49:42,Hyderabad,1.66,approved
TXN000205,USR0053,BigBasket,Groceries,272.61,2024-01-07 08:32:33,Bangalore,3.95,approved
TXN000206,USR0214,PharmEasy,Healthcare,1738.0,2024-01-07 12:38:49,Chennai,31.06,approved
TXN000207,USR0214,BigBasket,Groceries,296.15,2024-01-07 14:55:01,Delhi,46.08,approved
TXN000208,USR0095,Nykaa,Shopping,2574.87,2024-01-07 17:20:10,Hyderabad,76.4,approved
TXN000209,USR0260,BigBasket,Groceries,349.88,2024-01-07 17:35:07,Hyderabad,10.1,approved
TXN000210,USR0153,BookMyShow,Entertainment,249.94,2024-01-07 18:35:53,Bangalore,6.55,approved
TXN000211,USR0129,IRCTC,Travel,449.04,2024-01-07 18:45:45,Bangalore,24.32,approved
TXN000212,USR0300,BigBasket,Groceries,92.27,2024-01-07 19:10:16,Mumbai,0.0,declined
TXN000213,USR0074,Samsung Plaza,Electronics,8021.97,2024-01-07 19:24:39,Pune,132.43,approved
TXN000214,USR0065,PVR Cinemas,Entertainment,215.81,2024-01-07 19:25:35,Hyderabad,2.88,approved
TXN000215,USR0283,Zepto,Groceries,147.37,2024-01-07 19:38:13,Kanpur,3.59,approved
TXN000216,USR0076,Flipkart,Shopping,1870.17,2024-01-07 19:40:03,Pune,,approved
TXN000217,USR0256,Dream11,Entertainment,520.59,2024-01-07 20:09:11,Mumbai,12.47,approved
TXN000218,USR0123,BigBasket,Groceries,248.31,2024-01-07 21:02:20,Delhi,7.17,approved
TXN000219,USR0222,BPCL,Fuel,32.3,2024-01-07 21:12:30,Kolkata,0.26,approved
TXN000220,USR0256,Apollo Pharmacy,Healthcare,1494.8,2024-01-07 21:16:10,Bangalore,29.64,approved
TXN000221,USR0186,Spencer's,Groceries,395.72,2024-01-07 21:43:19,Delhi,4.34,approved
TXN000222,USR0051,Barbeque Nation,Dining,342.22,2024-01-07 22:22:40,Chennai,3.68,approved
TXN000223,USR0093,Tata Power,Utilities,856.48,2024-01-07 22:24:08,Hyderabad,11.27,approved
TXN000224,USR0091,Flipkart,Shopping,2084.83,2024-01-07 23:07:18,Pune,95.56,approved
TXN000225,USR0009,Reliance Fresh,Groceries,194.73,2024-01-08 02:05:59,Delhi,46.91,approved
TXN000226,USR0345,Zepto,Groceries,367.61,2024-01-08 02:09:08,Mumbai,4.53,approved
TXN000227,USR0242,Flipkart,Shopping,863.71,2024-01-08 03:55:43,Jaipur,37.26,approved
TXN000228,USR0107,Haldiram's,Dining,544.04,2024-01-08 04:15:23,Kanpur,24.25,approved
TXN000229,USR0144,BigBasket,Groceries,148.57,2024-01-08 06:36:42,Kolkata,2.43,approved
TXN000230,USR0121,DMart,Groceries,375.68,2024-01-08 08:28:14,Kolkata,0.0,declined
TXN000231,USR0012,BookMyShow,Entertainment,10.0,2024-01-08 09:50:57,Kanpur,0.23,approved
TXN000232,USR0044,Amazon,Shopping,2266.27,2024-01-08 10:15:12,Jaipur,0.0,declined
TXN000233,USR0087,Swiggy,Dining,337.73,2024-01-08 10:15:29,Pune,10.5,approved
TXN000234,USR0044,IndiGo,Travel,4769.87,2024-01-08 10:30:12,Delhi,0.0,declined
TXN000235,USR0130,Airtel,Utilities,593.26,2024-01-08 10:34:18,Hyderabad,5.58,approved
TXN000236,USR0044,Cleartrip,Travel,6588.57,2024-01-08 10:44:12,Chennai,0.0,declined
TXN000237,USR0315,Reliance Fresh,Groceries,309.81,2024-01-08 12:46:19,Bangalore,6.74,approved
TXN000238,USR0281,Vijay Sales,Electronics,5028.03,2024-01-08 13:32:50,Hyderabad,0.0,declined
TXN000239,USR0400,Dream11,Entertainment,271.74,2024-01-08 14:04:31,Mumbai,0.0,declined
TXN000240,USR0342,Hotstar,Entertainment,440.03,2024-01-08 14:15:31,Delhi,7.55,approved
TXN000241,USR0279,McDonald's,Dining,722.84,2024-01-08 15:55:21,Delhi,28.14,approved
TXN000242,USR0306,McDonald's,Dining,531.82,2024-01-08 18:48:01,Chennai,17.81,approved
TXN000243,USR0273,Reliance Digital,Electronics,3859.98,2024-01-08 19:14:02,Chennai,0.0,declined
TXN000244,USR0118,BESCOM,Utilities,635.45,2024-01-08 20:03:51,Mumbai,,approved
TXN000245,USR0054,BPCL,Fuel,122.92,2024-01-08 20:08:09,Hyderabad,0.66,approved
TXN000246,USR0371,Shell,Fuel,87.44,2024-01-08 20:08:09,Jaipur,0.63,approved
TXN000247,USR0141,PharmEasy,Healthcare,478.0,2024-01-08 20:08:10,Kanpur,8.07,approved
TXN000248,USR0010,Barbeque Nation,Dining,400.4,2024-01-08 20:15:21,Kanpur,9.54,approved
TXN000249,USR0145,Shell,Fuel,179.43,2024-01-08 20:19:19,Mumbai,1.11,approved
TXN000250,USR0330,BookMyShow,Entertainment,430.77,2024-01-08 20:44:34,Kolkata,10.82,approved
TXN000251,USR0201,Airtel,Utilities,811.01,2024-01-08 21:03:14,Kolkata,11.75,approved
TXN000252,USR0397,PharmEasy,Healthcare,347.85,2024-01-08 21:04:04,Hyderabad,4.24,approved
TXN000253,USR0243,McDonald's,Dining,470.9,2024-01-08 22:18:48,Chennai,7.86,approved
TXN000254,USR0109,Shell,Fuel,80.87,2024-01-08 22:44:47,Mumbai,11.45,approved
TXN000255,USR0088,Apple Store,Electronics,7093.21,2024-01-08 22:57:49,Mumbai,110.01,approved
TXN000256,USR0154,Zepto,Groceries,139.54,2024-01-08 22:59:40,Bangalore,2.5,approved
TXN000257,USR0347,BPCL,Fuel,79.03,2024-01-08 23:26:11,Chennai,0.4,approved
TXN000258,USR0199,Samsung Plaza,Electronics,8426.91,2024-01-09 00:08:28,Chennai,119.08,approved
TXN000259,USR0013,Airtel,Utilities,1348.55,2024-01-09 00:18:29,Mumbai,325.3,approved
TXN000260,USR0156,Haldiram's,Dining,98.62,2024-01-09 03:58:42,Kanpur,4.28,approved
TXN000261,USR0156,Dream11,Entertainment,447.18,2024-01-09 04:26:11,Mumbai,6.73,approved
TXN000262,USR0305,Barbeque Nation,Dining,889.75,2024-01-09 04:43:08,Delhi,15.88,approved
TXN000263,USR0321,Indian Oil,Fuel,88.2,2024-01-09 06:36:38,Kolkata,0.53,approved
TXN000264,USR0120,BESCOM,Utilities,787.24,2024-01-09 07:01:13,Bangalore,11.16,approved
TXN000265,USR0081,Essar Fuel,Fuel,74.51,2024-01-09 10:19:41,Pune,0.39,approved
TXN000266,USR0053,Zepto,Groceries,119.44,2024-01-09 11:08:30,Pune,,approved
TXN000267,USR0032,IRCTC,Travel,1553.09,2024-01-09 12:04:52,Chennai,59.1,approved
